voltage_spot_2_run_3_20	absJ_spot_2_run_3_20	J_spot_2_run_3_20	current_spot_2_run_3_20	time_spot_2_run_3_20	
-5.000000E-1	1.371116E-3	-1.371116E-3	-5.317885E-9	3.744922E+1
-4.500000E-1	1.255818E-3	-1.255818E-3	-4.870703E-9	3.781738E+1
-4.000000E-1	9.515601E-4	-9.515601E-4	-3.690635E-9	3.818457E+1
-3.500000E-1	8.504770E-4	-8.504770E-4	-3.298583E-9	3.855273E+1
-3.000000E-1	6.946341E-4	-6.946341E-4	-2.694145E-9	3.891992E+1
-2.500000E-1	5.299471E-4	-5.299471E-4	-2.055405E-9	3.928809E+1
-2.000000E-1	3.930422E-4	-3.930422E-4	-1.524418E-9	3.965625E+1
-1.500000E-1	2.808994E-4	-2.808994E-4	-1.089471E-9	4.002441E+1
-1.000000E-1	1.864102E-4	-1.864102E-4	-7.229939E-10	4.076465E+1
-5.000000E-2	6.410795E-5	-6.410795E-5	-2.486433E-10	4.113379E+1
0.000000E+0	2.950020E-7	-2.950020E-7	-1.144168E-12	4.230859E+1
0.000000E+0	4.436158E-8	-4.436158E-8	-1.720568E-13	4.301172E+1
5.000000E-2	4.331600E-5	4.331600E-5	1.680015E-10	4.412695E+1
1.000000E-1	9.707582E-5	9.707582E-5	3.765095E-10	4.449512E+1
1.500000E-1	1.629760E-4	1.629760E-4	6.321038E-10	4.486426E+1
2.000000E-1	2.530184E-4	2.530184E-4	9.813342E-10	4.523242E+1
2.500000E-1	4.980720E-4	4.980720E-4	1.931777E-9	4.634668E+1
3.000000E-1	6.771777E-4	6.771777E-4	2.626440E-9	4.671484E+1
3.500000E-1	8.243275E-4	8.243275E-4	3.197162E-9	4.708301E+1
4.000000E-1	1.510329E-3	1.510329E-3	5.857825E-9	4.745020E+1
4.500000E-1	1.213438E-3	1.213438E-3	4.706331E-9	4.781836E+1
5.000000E-1	1.514564E-3	1.514564E-3	5.874252E-9	4.818652E+1
5.000000E-1	1.464718E-3	1.464718E-3	5.680922E-9	4.855371E+1
4.500000E-1	1.015620E-3	1.015620E-3	3.939092E-9	4.892188E+1
4.000000E-1	8.506020E-4	8.506020E-4	3.299068E-9	4.928906E+1
3.500000E-1	6.827422E-4	6.827422E-4	2.648022E-9	4.965723E+1
3.000000E-1	5.232773E-4	5.232773E-4	2.029536E-9	5.002539E+1
2.500000E-1	3.679024E-4	3.679024E-4	1.426913E-9	5.039258E+1
2.000000E-1	1.539527E-4	1.539527E-4	5.971070E-10	5.113379E+1
1.500000E-1	1.012961E-4	1.012961E-4	3.928778E-10	5.150195E+1
