voltage_spot_7_run_2	absJ_spot_7_run_2	J_spot_7_run_2	current_spot_7_run_2	time_spot_7_run_2	
0.000000E+0	6.389553E-6	-6.389553E-6	-2.478194E-11	0.000000E+0
5.000000E-2	2.097721E-3	2.097721E-3	8.136032E-9	1.115234E+0
1.000000E-1	3.555131E-3	3.555131E-3	1.378861E-8	2.229492E+0
1.500000E-1	6.438505E-3	6.438505E-3	2.497180E-8	2.596680E+0
2.000000E-1	1.066283E-2	1.066283E-2	4.135588E-8	2.964844E+0
2.500000E-1	1.655971E-2	1.655971E-2	6.422700E-8	3.333008E+0
3.000000E-1	2.237549E-2	2.237549E-2	8.678356E-8	3.700195E+0
3.500000E-1	2.852165E-2	2.852165E-2	1.106215E-7	4.820313E+0
4.000000E-1	3.819385E-2	3.819385E-2	1.481352E-7	5.188477E+0
4.500000E-1	4.958681E-2	4.958681E-2	1.923229E-7	5.555664E+0
5.000000E-1	6.388413E-2	6.388413E-2	2.477752E-7	5.923828E+0
5.000000E-1	6.427335E-2	6.427335E-2	2.492848E-7	6.291016E+0
4.500000E-1	5.106343E-2	5.106343E-2	1.980500E-7	6.659180E+0
4.000000E-1	3.904005E-2	3.904005E-2	1.514172E-7	7.027344E+0
3.500000E-1	2.901999E-2	2.901999E-2	1.125543E-7	7.395508E+0
3.000000E-1	2.161543E-2	2.161543E-2	8.383565E-8	8.135742E+0
2.500000E-1	1.438231E-2	1.438231E-2	5.578193E-8	8.503906E+0
2.000000E-1	9.484703E-3	9.484703E-3	3.678651E-8	8.872070E+0
1.500000E-1	5.927679E-3	5.927679E-3	2.299056E-8	9.239258E+0
1.000000E-1	3.183896E-3	3.183896E-3	1.234877E-8	9.607422E+0
5.000000E-2	1.405537E-3	1.405537E-3	5.451390E-9	1.034863E+1
0.000000E+0	4.443859E-6	-4.443859E-6	-1.723555E-11	1.152246E+1
-5.000000E-2	1.367702E-3	-1.367702E-3	-5.304647E-9	1.263770E+1
-1.000000E-1	3.055581E-3	-3.055581E-3	-1.185110E-8	1.375195E+1
-1.500000E-1	5.351030E-3	-5.351030E-3	-2.075402E-8	1.412012E+1
-2.000000E-1	8.894914E-3	-8.894914E-3	-3.449901E-8	1.448730E+1
-2.500000E-1	1.328354E-2	-1.328354E-2	-5.152035E-8	1.485547E+1
-3.000000E-1	1.890360E-2	-1.890360E-2	-7.331778E-8	1.522363E+1
-3.500000E-1	2.565334E-2	-2.565334E-2	-9.949673E-8	1.559082E+1
-4.000000E-1	3.338087E-2	-3.338087E-2	-1.294680E-7	1.671094E+1
-4.500000E-1	4.296455E-2	-4.296455E-2	-1.666384E-7	1.707813E+1
-5.000000E-1	5.393972E-2	-5.393972E-2	-2.092057E-7	1.744629E+1
-5.000000E-1	5.548250E-2	-5.548250E-2	-2.151894E-7	1.781445E+1
-4.500000E-1	4.482962E-2	-4.482962E-2	-1.738721E-7	1.818164E+1
-4.000000E-1	3.707654E-2	-3.707654E-2	-1.438017E-7	1.854980E+1
-3.500000E-1	2.838647E-2	-2.838647E-2	-1.100972E-7	1.891699E+1
-3.000000E-1	2.039055E-2	-2.039055E-2	-7.908494E-8	1.965820E+1
-2.500000E-1	1.440399E-2	-1.440399E-2	-5.586601E-8	2.002637E+1
-2.000000E-1	9.479338E-3	-9.479338E-3	-3.676570E-8	2.039355E+1
-1.500000E-1	5.727747E-3	-5.727747E-3	-2.221512E-8	2.076172E+1
-1.000000E-1	2.883636E-3	-2.883636E-3	-1.118421E-8	2.112988E+1
-5.000000E-2	1.312028E-3	-1.312028E-3	-5.088712E-9	2.187012E+1
0.000000E+0	4.433595E-6	-4.433595E-6	-1.719574E-11	2.304492E+1
