Voltage	mu1	sigma1	Gerrup1	Gerrdn1					
-0.5	0.00016208	5.8698	0.00095139	2.7613e-005
-0.45	0.00014822	5.8539	0.00086768	2.532e-005
-0.4	0.00013033	6.1259	0.00079838	2.1275e-005
-0.35	0.00011153	6.3987	0.00071367	1.7431e-005
-0.3	9.612e-005	6.4667	0.00062158	1.4864e-005
-0.25	7.9463e-005	6.6523	0.00052861	1.1945e-005
-0.2	6.1545e-005	6.9585	0.00042826	8.8445e-006
-0.15	4.0092e-005	7.4061	0.00029692	5.4134e-006
-0.1	2.2921e-005	7.6806	0.00017604	2.9842e-006
-0.05	8.8318e-006	6.4113	5.6624e-005	1.3775e-006
0	5.7986e-008	3.8785	2.249e-007	1.4951e-008
0.05	1.0557e-005	6.3819	6.7373e-005	1.6542e-006
0.1	2.9634e-005	7.2638	0.00021525	4.0797e-006
0.15	5.7848e-005	6.0987	0.0003528	9.4854e-006
0.2	9.1869e-005	5.7321	0.0005266	1.6027e-005
0.25	0.00012921	5.2044	0.00067248	2.4828e-005
0.3	0.00016438	4.8501	0.00079724	3.3891e-005
0.35	0.00019725	4.602	0.00090774	4.2862e-005
0.4	0.00024541	4.5363	0.0011132	5.41e-005
0.45	0.0002925	4.3661	0.0012771	6.6994e-005
0.5	0.00034663	4.4412	0.0015394	7.8048e-005
