J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	2.6647e-019
1.5849e-008	-7.8	0	2.6043e-018
2.1544e-008	-7.6667	0	2.4052e-017
2.9286e-008	-7.5333	0	2.0992e-016
3.9811e-008	-7.4	0	1.7313e-015
5.4117e-008	-7.2667	0	1.3494e-014
7.3564e-008	-7.1333	0	9.9387e-014
1e-007	-7	0	6.9175e-013
1.3594e-007	-6.8667	0	4.5499e-012
1.8478e-007	-6.7333	0	2.828e-011
2.5119e-007	-6.6	0	1.6611e-010
3.4145e-007	-6.4667	0	9.2202e-010
4.6416e-007	-6.3333	0	4.8363e-009
6.3096e-007	-6.2	0	2.3973e-008
8.577e-007	-6.0667	0	1.1229e-007
1.1659e-006	-5.9333	0	4.9708e-007
1.5849e-006	-5.8	0	2.0793e-006
2.1544e-006	-5.6667	0	8.2197e-006
2.9286e-006	-5.5333	0	3.0705e-005
3.9811e-006	-5.4	0	0.00010839
5.4117e-006	-5.2667	0	0.0003616
7.3564e-006	-5.1333	0	0.0011399
1e-005	-5	0	0.003396
1.3594e-005	-4.8667	0	0.0095605
1.8478e-005	-4.7333	0	0.025435
2.5119e-005	-4.6	0	0.063945
3.4145e-005	-4.4667	0	0.15192
4.6416e-005	-4.3333	0	0.34108
6.3096e-005	-4.2	0	0.72364
8.577e-005	-4.0667	0	1.4508
0.00011659	-3.9333	0	2.7489
0.00015849	-3.8	7	4.9217
0.00021544	-3.6667	17	8.3274
0.00029286	-3.5333	13	13.315
0.00039811	-3.4	18	20.118
0.00054117	-3.2667	16	28.726
0.00073564	-3.1333	53	38.761
0.001	-3	62	49.424
0.0013594	-2.8667	45	59.555
0.0018478	-2.7333	50	67.815
0.0025119	-2.6	78	72.974
0.0034145	-2.4667	87	74.206
0.0046416	-2.3333	79	71.309
0.0063096	-2.2	62	64.755
0.008577	-2.0667	58	55.57
0.011659	-1.9333	36	45.065
0.015849	-1.8	24	34.535
0.021544	-1.6667	27	25.01
0.029286	-1.5333	17	17.116
0.039811	-1.4	18	11.069
0.054117	-1.2667	11	6.7651
0.073564	-1.1333	13	3.9071
0.1	-1	2	2.1324
0.13594	-0.86667	5	1.0998
0.18478	-0.73333	1	0.53602
0.25119	-0.6	0	0.24688
0.34145	-0.46667	0	0.10745
0.46416	-0.33333	0	0.044196
0.63096	-0.2	0	0.017178
0.8577	-0.066667	0	0.0063098
1.1659	0.066667	0	0.0021901
1.5849	0.2	0	0.00071839
2.1544	0.33333	0	0.00022268
2.9286	0.46667	0	6.5228e-005
3.9811	0.6	0	1.8056e-005
5.4117	0.73333	0	4.7231e-006
7.3564	0.86667	0	1.1675e-006
10	1	0	2.7274e-007
13.594	1.1333	0	6.0208e-008
18.478	1.2667	0	1.256e-008
25.119	1.4	0	2.476e-009
34.145	1.5333	0	4.6127e-010
46.416	1.6667	0	8.1206e-011
63.096	1.8	0	1.351e-011
85.77	1.9333	9	2.1239e-012
