J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	4.6879e-021
1.5849e-008	-7.8	0	5.3092e-020
2.1544e-008	-7.6667	0	5.6684e-019
2.9286e-008	-7.5333	0	5.7051e-018
3.9811e-008	-7.4	0	5.4131e-017
5.4117e-008	-7.2667	0	4.8418e-016
7.3564e-008	-7.1333	0	4.0826e-015
1e-007	-7	0	3.2453e-014
1.3594e-007	-6.8667	0	2.4319e-013
1.8478e-007	-6.7333	0	1.7179e-012
2.5119e-007	-6.6	0	1.144e-011
3.4145e-007	-6.4667	0	7.1822e-011
4.6416e-007	-6.3333	0	4.2506e-010
6.3096e-007	-6.2	0	2.3715e-009
8.577e-007	-6.0667	0	1.2473e-008
1.1659e-006	-5.9333	0	6.1842e-008
1.5849e-006	-5.8	0	2.8906e-007
2.1544e-006	-5.6667	0	1.2737e-006
2.9286e-006	-5.5333	0	5.2906e-006
3.9811e-006	-5.4	0	2.0717e-005
5.4117e-006	-5.2667	0	7.6478e-005
7.3564e-006	-5.1333	0	0.00026614
1e-005	-5	0	0.00087311
1.3594e-005	-4.8667	0	0.0027002
1.8478e-005	-4.7333	0	0.0078725
2.5119e-005	-4.6	0	0.021637
3.4145e-005	-4.4667	0	0.05606
4.6416e-005	-4.3333	0	0.13693
6.3096e-005	-4.2	0	0.31529
8.577e-005	-4.0667	0	0.68438
0.00011659	-3.9333	0	1.4004
0.00015849	-3.8	2	2.7015
0.00021544	-3.6667	1	4.9127
0.00029286	-3.5333	18	8.422
0.00039811	-3.4	14	13.611
0.00054117	-3.2667	17	20.736
0.00073564	-3.1333	14	29.782
0.001	-3	44	40.324
0.0013594	-2.8667	78	51.468
0.0018478	-2.7333	38	61.928
0.0025119	-2.6	72	70.245
0.0034145	-2.4667	72	75.114
0.0046416	-2.3333	93	75.719
0.0063096	-2.2	67	71.955
0.008577	-2.0667	66	64.461
0.011659	-1.9333	50	54.439
0.015849	-1.8	34	43.34
0.021544	-1.6667	30	32.528
0.029286	-1.5333	26	23.014
0.039811	-1.4	18	15.35
0.054117	-1.2667	17	9.6517
0.073564	-1.1333	12	5.721
0.1	-1	10	3.1968
0.13594	-0.86667	2	1.684
0.18478	-0.73333	4	0.83625
0.25119	-0.6	1	0.39148
0.34145	-0.46667	0	0.17277
0.46416	-0.33333	0	0.071876
0.63096	-0.2	1	0.02819
0.8577	-0.066667	0	0.010422
1.1659	0.066667	0	0.0036326
1.5849	0.2	0	0.0011936
2.1544	0.33333	0	0.00036971
2.9286	0.46667	0	0.00010796
3.9811	0.6	0	2.9717e-005
5.4117	0.73333	0	7.7116e-006
7.3564	0.86667	0	1.8865e-006
10	1	0	4.3506e-007
13.594	1.1333	0	9.4582e-008
18.478	1.2667	0	1.9384e-008
25.119	1.4	0	3.7452e-009
34.145	1.5333	0	6.8213e-010
46.416	1.6667	0	1.1712e-010
63.096	1.8	0	1.8958e-011
85.77	1.9333	7	2.8927e-012
