Voltage	mu1	sigma1	Gerrup1	Gerrdn1					
-0.5	0.0067524	3.7908	0.025597	0.0017813
-0.45	0.0059283	3.7631	0.022309	0.0015754
-0.4	0.0052372	3.759	0.019686	0.0013932
-0.35	0.0045361	3.7095	0.016827	0.0012228
-0.3	0.0038639	3.6784	0.014213	0.0010504
-0.25	0.0032072	3.6356	0.01166	0.00088216
-0.2	0.002528	3.587	0.0090679	0.00070476
-0.15	0.0019517	3.728	0.007276	0.00052352
-0.1	0.0013034	3.671	0.0047847	0.00035504
-0.05	0.00066533	3.6127	0.0024036	0.00018416
0	4.1171e-007	4.7881	1.9713e-006	8.5986e-008
0.05	0.00070686	3.6585	0.0025861	0.00019321
0.1	0.0014483	3.7398	0.0054164	0.00038726
0.15	0.0022909	3.6407	0.0083406	0.00062925
0.2	0.0031852	3.541	0.011279	0.00089951
0.25	0.0041507	3.5393	0.014691	0.0011727
0.3	0.005303	3.5503	0.018827	0.0014937
0.35	0.0066271	3.5728	0.023677	0.0018548
0.4	0.0081362	3.5364	0.028773	0.0023007
0.45	0.0097573	3.567	0.034805	0.0027354
0.5	0.011758	3.5268	0.041467	0.0033338
