J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	7.6549e-020
1.5849e-008	-7.8	0	7.2778e-019
2.1544e-008	-7.6667	0	6.5571e-018
2.9286e-008	-7.5333	0	5.5985e-017
3.9811e-008	-7.4	0	4.5299e-016
5.4117e-008	-7.2667	0	3.4735e-015
7.3564e-008	-7.1333	0	2.524e-014
1e-007	-7	0	1.7381e-013
1.3594e-007	-6.8667	0	1.1342e-012
1.8478e-007	-6.7333	0	7.0143e-012
2.5119e-007	-6.6	0	4.1108e-011
3.4145e-007	-6.4667	0	2.2831e-010
4.6416e-007	-6.3333	0	1.2016e-009
6.3096e-007	-6.2	0	5.9933e-009
8.577e-007	-6.0667	0	2.8328e-008
1.1659e-006	-5.9333	0	1.2689e-007
1.5849e-006	-5.8	0	5.3863e-007
2.1544e-006	-5.6667	0	2.1667e-006
2.9286e-006	-5.5333	0	8.2598e-006
3.9811e-006	-5.4	0	2.984e-005
5.4117e-006	-5.2667	0	0.00010216
7.3564e-006	-5.1333	0	0.00033143
1e-005	-5	0	0.001019
1.3594e-005	-4.8667	0	0.002969
1.8478e-005	-4.7333	0	0.0081979
2.5119e-005	-4.6	0	0.021451
3.4145e-005	-4.4667	0	0.053192
4.6416e-005	-4.3333	0	0.125
6.3096e-005	-4.2	0	0.27835
8.577e-005	-4.0667	0	0.58743
0.00011659	-3.9333	0	1.1748
0.00015849	-3.8	0	2.2265
0.00021544	-3.6667	0	3.999
0.00029286	-3.5333	11	6.8064
0.00039811	-3.4	13	10.979
0.00054117	-3.2667	15	16.781
0.00073564	-3.1333	21	24.308
0.001	-3	38	33.369
0.0013594	-2.8667	50	43.409
0.0018478	-2.7333	61	53.515
0.0025119	-2.6	42	62.52
0.0034145	-2.4667	58	69.218
0.0046416	-2.3333	75	72.623
0.0063096	-2.2	99	72.207
0.008577	-2.0667	61	68.036
0.011659	-1.9333	73	60.751
0.015849	-1.8	38	51.407
0.021544	-1.6667	29	41.223
0.029286	-1.5333	28	31.327
0.039811	-1.4	24	22.56
0.054117	-1.2667	19	15.397
0.073564	-1.1333	20	9.9579
0.1	-1	8	6.1032
0.13594	-0.86667	10	3.5449
0.18478	-0.73333	2	1.9512
0.25119	-0.6	4	1.0178
0.34145	-0.46667	0	0.50309
0.46416	-0.33333	0	0.23567
0.63096	-0.2	0	0.10462
0.8577	-0.066667	0	0.044013
1.1659	0.066667	0	0.017547
1.5849	0.2	0	0.0066293
2.1544	0.33333	0	0.0023735
2.9286	0.46667	0	0.00080533
3.9811	0.6	0	0.00025894
5.4117	0.73333	0	7.8902e-005
7.3564	0.86667	0	2.2784e-005
10	1	0	6.2348e-006
13.594	1.1333	0	1.6168e-006
18.478	1.2667	0	3.9735e-007
25.119	1.4	0	9.2538e-008
34.145	1.5333	0	2.0423e-008
46.416	1.6667	0	4.2716e-009
63.096	1.8	0	8.4665e-010
85.77	1.9333	9	1.5903e-010
