J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	2.3261e-022
1.5849e-008	-7.8	0	2.7773e-021
2.1544e-008	-7.6667	0	3.1287e-020
2.9286e-008	-7.5333	0	3.3255e-019
3.9811e-008	-7.4	0	3.3351e-018
5.4117e-008	-7.2667	0	3.1558e-017
7.3564e-008	-7.1333	0	2.8175e-016
1e-007	-7	0	2.3734e-015
1.3594e-007	-6.8667	0	1.8864e-014
1.8478e-007	-6.7333	0	1.4147e-013
2.5119e-007	-6.6	0	1.001e-012
3.4145e-007	-6.4667	0	6.6829e-012
4.6416e-007	-6.3333	0	4.2097e-011
6.3096e-007	-6.2	0	2.502e-010
8.577e-007	-6.0667	0	1.4031e-009
1.1659e-006	-5.9333	0	7.4237e-009
1.5849e-006	-5.8	0	3.7061e-008
2.1544e-006	-5.6667	0	1.7457e-007
2.9286e-006	-5.5333	0	7.7586e-007
3.9811e-006	-5.4	0	3.2534e-006
5.4117e-006	-5.2667	0	1.2872e-005
7.3564e-006	-5.1333	0	4.8054e-005
1e-005	-5	0	0.00016926
1.3594e-005	-4.8667	0	0.00056251
1.8478e-005	-4.7333	0	0.0017638
2.5119e-005	-4.6	0	0.0052185
3.4145e-005	-4.4667	0	0.014568
4.6416e-005	-4.3333	0	0.038369
6.3096e-005	-4.2	0	0.095352
8.577e-005	-4.0667	0	0.22358
0.00011659	-3.9333	0	0.49464
0.00015849	-3.8	0	1.0325
0.00021544	-3.6667	0	2.0336
0.00029286	-3.5333	0	3.779
0.00039811	-3.4	9	6.6261
0.00054117	-3.2667	12	10.962
0.00073564	-3.1333	20	17.111
0.001	-3	16	25.2
0.0013594	-2.8667	36	35.018
0.0018478	-2.7333	51	45.913
0.0025119	-2.6	71	56.797
0.0034145	-2.4667	37	66.295
0.0046416	-2.3333	82	73.011
0.0063096	-2.2	81	75.866
0.008577	-2.0667	83	74.381
0.011659	-1.9333	58	68.806
0.015849	-1.8	72	60.055
0.021544	-1.6667	40	49.457
0.029286	-1.5333	30	38.429
0.039811	-1.4	29	28.174
0.054117	-1.2667	21	19.489
0.073564	-1.1333	14	12.72
0.1	-1	17	7.8329
0.13594	-0.86667	9	4.5512
0.18478	-0.73333	6	2.495
0.25119	-0.6	3	1.2906
0.34145	-0.46667	3	0.62987
0.46416	-0.33333	0	0.29005
0.63096	-0.2	0	0.12602
0.8577	-0.066667	0	0.051661
1.1659	0.066667	0	0.019982
1.5849	0.2	0	0.0072925
2.1544	0.33333	0	0.0025111
2.9286	0.46667	0	0.00081584
3.9811	0.6	0	0.00025009
5.4117	0.73333	0	7.2336e-005
7.3564	0.86667	0	1.974e-005
10	1	0	5.083e-006
13.594	1.1333	0	1.2349e-006
18.478	1.2667	0	2.8307e-007
25.119	1.4	0	6.1223e-008
34.145	1.5333	0	1.2494e-008
46.416	1.6667	0	2.4056e-009
63.096	1.8	0	4.3702e-010
85.77	1.9333	8	7.491e-011
