J	logJ	Histogram	Fit				
1.2589e-08	-7.9	0	0.0090642
1.9953e-08	-7.7	0	0.031008
3.1623e-08	-7.5	0	0.097169
5.0119e-08	-7.3	0	0.27892
7.9433e-08	-7.1	0	0.73337
1.2589e-07	-6.9	0	1.7664
1.9953e-07	-6.7	1	3.897
3.1623e-07	-6.5	0	7.8756
5.0119e-07	-6.3	4	14.579
7.9433e-07	-6.1	3	24.723
1.2589e-06	-5.9	5	38.402
1.9953e-06	-5.7	38	54.641
3.1623e-06	-5.5	125	71.216
5.0119e-06	-5.3	132	85.024
7.9433e-06	-5.1	76	92.983
1.2589e-05	-4.9	72	93.147
1.9953e-05	-4.7	68	85.474
3.1623e-05	-4.5	63	71.846
5.0119e-05	-4.3	23	55.318
7.9433e-05	-4.1	104	39.016
0.00012589	-3.9	12	25.206
0.00019953	-3.7	27	14.917
0.00031623	-3.5	31	8.0865
0.00050119	-3.3	12	4.0154
0.00079433	-3.1	1	1.8265
0.0012589	-2.9	0	0.761
0.0019953	-2.7	0	0.29045
0.0031623	-2.5	1	0.10154
0.0050119	-2.3	0	0.032518
0.0079433	-2.1	0	0.0095392
0.012589	-1.9	0	0.0025633
0.019953	-1.7	0	0.00063093
0.031623	-1.5	0	0.00014225
0.050119	-1.3	0	2.938e-05
0.079433	-1.1	0	5.5583e-06
0.12589	-0.9	0	9.6324e-07
0.19953	-0.7	0	1.5291e-07
0.31623	-0.5	0	2.2234e-08
0.50119	-0.3	0	2.9615e-09
0.79433	-0.1	0	3.6133e-10
1.2589	0.1	0	4.0384e-11
1.9953	0.3	0	4.1343e-12
3.1623	0.5	0	3.8771e-13
5.0119	0.7	0	3.3305e-14
7.9433	0.9	0	2.6206e-15
12.589	1.1	0	1.8889e-16
19.953	1.3	0	1.2471e-17
31.623	1.5	0	7.5426e-19
50.119	1.7	0	4.1786e-20
79.433	1.9	0	2.1205e-21
