J	logJ	Histogram	Fit				
1.2589e-08	-7.9	0	8.9302e-05
1.9953e-08	-7.7	0	0.00058779
3.1623e-08	-7.5	0	0.0033768
5.0119e-08	-7.3	1	0.016932
7.9433e-08	-7.1	0	0.074106
1.2589e-07	-6.9	1	0.28308
1.9953e-07	-6.7	0	0.94382
3.1623e-07	-6.5	0	2.7466
5.0119e-07	-6.3	0	6.9762
7.9433e-07	-6.1	5	15.466
1.2589e-06	-5.9	8	29.926
1.9953e-06	-5.7	8	50.541
3.1623e-06	-5.5	121	74.502
5.0119e-06	-5.3	119	95.855
7.9433e-06	-5.1	108	107.64
1.2589e-05	-4.9	96	105.51
1.9953e-05	-4.7	67	90.259
3.1623e-05	-4.5	61	67.396
5.0119e-05	-4.3	23	43.923
7.9433e-05	-4.1	91	24.985
0.00012589	-3.9	11	12.405
0.00019953	-3.7	15	5.3756
0.00031623	-3.5	32	2.0332
0.00050119	-3.3	13	0.67123
0.00079433	-3.1	16	0.19341
0.0012589	-2.9	0	0.048641
0.0019953	-2.7	0	0.010677
0.0031623	-2.5	2	0.0020457
0.0050119	-2.3	0	0.00034209
0.0079433	-2.1	0	4.993e-05
0.012589	-1.9	0	6.3607e-06
0.019953	-1.7	0	7.0726e-07
0.031623	-1.5	0	6.8639e-08
0.050119	-1.3	0	5.8142e-09
0.079433	-1.1	0	4.2986e-10
0.12589	-0.9	0	2.7739e-11
0.19953	-0.7	0	1.5624e-12
0.31623	-0.5	0	7.6807e-14
0.50119	-0.3	0	3.2956e-15
0.79433	-0.1	0	1.2342e-16
1.2589	0.1	0	4.0344e-18
1.9953	0.3	0	1.151e-19
3.1623	0.5	0	2.8663e-21
5.0119	0.7	0	6.2298e-23
7.9433	0.9	0	1.1818e-24
12.589	1.1	0	1.9568e-26
19.953	1.3	0	2.828e-28
31.623	1.5	0	3.5672e-30
50.119	1.7	0	3.9273e-32
79.433	1.9	0	3.7739e-34
