voltage_spot_1_run_3_10	absJ_spot_1_run_3_10	J_spot_1_run_3_10	current_spot_1_run_3_10	time_spot_1_run_3_10	
-5.000000E-1	3.224762E+0	-3.224762E+0	-3.614601E-5	3.508496E+1
-4.500000E-1	2.838119E+0	-2.838119E+0	-3.181217E-5	3.545215E+1
-4.000000E-1	2.507954E+0	-2.507954E+0	-2.811139E-5	3.582031E+1
-3.500000E-1	2.198151E+0	-2.198151E+0	-2.463884E-5	3.618848E+1
-3.000000E-1	1.889320E+0	-1.889320E+0	-2.117718E-5	3.655566E+1
-2.500000E-1	1.607598E+0	-1.607598E+0	-1.801939E-5	3.692383E+1
-2.000000E-1	1.310935E+0	-1.310935E+0	-1.469413E-5	3.729102E+1
-1.500000E-1	1.031308E+0	-1.031308E+0	-1.155982E-5	3.765918E+1
-1.000000E-1	7.308960E-1	-7.308960E-1	-8.192535E-6	3.840625E+1
-5.000000E-2	3.803956E-1	-3.803956E-1	-4.263813E-6	3.877441E+1
0.000000E+0	1.156345E-3	-1.156345E-3	-1.296135E-8	3.951563E+1
0.000000E+0	1.203841E-3	-1.203841E-3	-1.349372E-8	3.988379E+1
5.000000E-2	4.175792E-1	4.175792E-1	4.680600E-6	4.100391E+1
1.000000E-1	8.670356E-1	8.670356E-1	9.718508E-6	4.137207E+1
1.500000E-1	1.350988E+0	1.350988E+0	1.514308E-5	4.248633E+1
2.000000E-1	1.847207E+0	1.847207E+0	2.070514E-5	4.285449E+1
2.500000E-1	2.404746E+0	2.404746E+0	2.695454E-5	4.322168E+1
3.000000E-1	2.976176E+0	2.976176E+0	3.335964E-5	4.358984E+1
3.500000E-1	3.615008E+0	3.615008E+0	4.052024E-5	4.395801E+1
4.000000E-1	4.326882E+0	4.326882E+0	4.849955E-5	4.432520E+1
4.500000E-1	5.148692E+0	5.148692E+0	5.771114E-5	4.469336E+1
5.000000E-1	6.073688E+0	6.073688E+0	6.807932E-5	4.506152E+1
5.000000E-1	6.120524E+0	6.120524E+0	6.860430E-5	4.542871E+1
4.500000E-1	5.457788E+0	5.457788E+0	6.117576E-5	4.579688E+1
4.000000E-1	4.761485E+0	4.761485E+0	5.337097E-5	4.616504E+1
3.500000E-1	4.049198E+0	4.049198E+0	4.538702E-5	4.653223E+1
3.000000E-1	3.349102E+0	3.349102E+0	3.753973E-5	4.690039E+1
