J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	3	4.0237
1.5849e-008	-7.8	2	5.4198
2.1544e-008	-7.6667	6	7.1722
2.9286e-008	-7.5333	6	9.3247
3.9811e-008	-7.4	11	11.91
5.4117e-008	-7.2667	14	14.946
7.3564e-008	-7.1333	15	18.426
1e-007	-7	17	22.317
1.3594e-007	-6.8667	21	26.556
1.8478e-007	-6.7333	30	31.046
2.5119e-007	-6.6	31	35.657
3.4145e-007	-6.4667	56	40.235
4.6416e-007	-6.3333	48	44.604
6.3096e-007	-6.2	59	48.578
8.577e-007	-6.0667	56	51.979
1.1659e-006	-5.9333	74	54.641
1.5849e-006	-5.8	43	56.431
2.1544e-006	-5.6667	38	57.257
2.9286e-006	-5.5333	59	57.075
3.9811e-006	-5.4	55	55.896
5.4117e-006	-5.2667	60	53.78
7.3564e-006	-5.1333	47	50.835
1e-005	-5	24	47.209
1.3594e-005	-4.8667	7	43.071
1.8478e-005	-4.7333	20	38.607
2.5119e-005	-4.6	113	33.998
3.4145e-005	-4.4667	54	29.414
4.6416e-005	-4.3333	39	25.001
6.3096e-005	-4.2	23	20.877
8.577e-005	-4.0667	2	17.127
0.00011659	-3.9333	0	13.805
0.00015849	-3.8	1	10.931
0.00021544	-3.6667	0	8.5038
0.00029286	-3.5333	0	6.4994
0.00039811	-3.4	0	4.8803
0.00054117	-3.2667	1	3.6002
0.00073564	-3.1333	0	2.6092
0.001	-3	0	1.8579
0.0013594	-2.8667	0	1.2996
0.0018478	-2.7333	0	0.89318
0.0025119	-2.6	0	0.60306
0.0034145	-2.4667	0	0.40004
0.0046416	-2.3333	3	0.2607
0.0063096	-2.2	0	0.16692
0.008577	-2.0667	0	0.10499
0.011659	-1.9333	0	0.064884
0.015849	-1.8	0	0.039393
0.021544	-1.6667	0	0.023497
0.029286	-1.5333	1	0.013769
0.039811	-1.4	3	0.0079273
0.054117	-1.2667	4	0.0044838
0.073564	-1.1333	0	0.0024916
0.1	-1	0	0.0013602
0.13594	-0.86667	0	0.00072956
0.18478	-0.73333	1	0.00038443
0.25119	-0.6	0	0.00019902
0.34145	-0.46667	2	0.00010122
0.46416	-0.33333	0	5.0577e-005
0.63096	-0.2	0	2.4828e-005
0.8577	-0.066667	0	1.1974e-005
1.1659	0.066667	0	5.6737e-006
1.5849	0.2	0	2.6411e-006
2.1544	0.33333	0	1.2079e-006
2.9286	0.46667	1	5.427e-007
3.9811	0.6	2	2.3956e-007
5.4117	0.73333	0	1.0389e-007
7.3564	0.86667	2	4.4263e-008
10	1	0	1.8528e-008
13.594	1.1333	0	7.6193e-009
18.478	1.2667	0	3.0783e-009
25.119	1.4	0	1.2219e-009
34.145	1.5333	0	4.7647e-010
46.416	1.6667	0	1.8254e-010
63.096	1.8	0	6.8707e-011
85.77	1.9333	0	2.5407e-011
