Voltage	mu1	sigma1	Gerrup1	Gerrdn1					
-0.5	0.0067963	5.0557	0.03436	0.0013443
-0.45	0.0057548	5.2282	0.030088	0.0011007
-0.4	0.0049218	5.2326	0.025754	0.0009406
-0.35	0.0041646	5.4995	0.022903	0.00075727
-0.3	0.0034601	5.6087	0.019407	0.00061691
-0.25	0.0027874	5.7781	0.016106	0.00048241
-0.2	0.0021734	5.9587	0.012951	0.00036474
-0.15	0.0015566	6.5129	0.010138	0.000239
-0.1	0.0010029	6.7198	0.0067391	0.00014924
-0.05	0.00051192	7.1784	0.0036748	7.1314e-005
0	2.3773e-006	10.045	2.388e-005	2.3666e-007
0.05	0.00053749	6.9241	0.0037217	7.7627e-005
0.1	0.0011087	6.7758	0.0075125	0.00016363
0.15	0.00175	6.5577	0.011476	0.00026686
0.2	0.0025522	5.9866	0.015279	0.00042632
0.25	0.0034482	5.7382	0.019787	0.00060092
0.3	0.0044409	5.6223	0.024968	0.00078987
0.35	0.0055677	5.5356	0.030821	0.0010058
0.4	0.0068334	5.403	0.036921	0.0012647
0.45	0.0084653	5.3138	0.044983	0.0015931
0.5	0.010242	5.2381	0.053647	0.0019552
