voltage_run_4_spot_2	absJ_run_4_spot_2	J_run_4_spot_2	current_run_4_spot_2	time_run_4_spot_2	
0.000000E+0	4.552359E-7	-4.552359E-7	-3.972683E-12	0.000000E+0
5.000000E-2	4.680872E-5	4.680872E-5	4.084831E-10	1.115234E+0
1.000000E-1	9.637275E-5	9.637275E-5	8.410109E-10	1.483398E+0
1.500000E-1	1.099960E-4	1.099960E-4	9.598965E-10	1.851563E+0
2.000000E-1	2.775937E-5	2.775937E-5	2.422462E-10	2.966797E+0
2.500000E-1	4.904208E-5	4.904208E-5	4.279729E-10	3.707031E+0
3.000000E-1	5.666983E-5	5.666983E-5	4.945375E-10	4.076172E+0
3.500000E-1	5.847384E-5	5.847384E-5	5.102805E-10	4.444336E+0
4.000000E-1	6.930380E-5	6.930380E-5	6.047898E-10	4.812500E+0
4.500000E-1	7.743897E-5	7.743897E-5	6.757825E-10	5.181641E+0
5.000000E-1	1.019010E-4	1.019010E-4	8.892544E-10	5.549805E+0
5.000000E-1	9.707858E-5	9.707858E-5	8.471704E-10	5.917969E+0
4.500000E-1	8.805892E-5	8.805892E-5	7.684590E-10	6.286133E+0
4.000000E-1	5.854834E-5	5.854834E-5	5.109307E-10	6.655273E+0
3.500000E-1	4.625644E-5	4.625644E-5	4.036636E-10	7.023438E+0
3.000000E-1	3.484280E-5	3.484280E-5	3.040608E-10	7.391602E+0
2.500000E-1	2.898943E-5	2.898943E-5	2.529805E-10	7.759766E+0
2.000000E-1	2.148910E-5	2.148910E-5	1.875278E-10	8.128906E+0
1.500000E-1	1.484984E-5	1.484984E-5	1.295893E-10	8.497070E+0
1.000000E-1	8.189110E-6	8.189110E-6	7.146347E-11	9.671875E+0
5.000000E-2	3.895038E-6	3.895038E-6	3.399062E-11	1.037500E+1
0.000000E+0	6.756929E-8	6.756929E-8	5.896533E-13	1.107813E+1
-5.000000E-2	3.583413E-6	-3.583413E-6	-3.127118E-11	1.178223E+1
-1.000000E-1	7.184083E-6	-7.184083E-6	-6.269295E-11	1.248535E+1
-1.500000E-1	1.132695E-5	-1.132695E-5	-9.884631E-11	1.318848E+1
-2.000000E-1	1.408546E-5	-1.408546E-5	-1.229188E-10	1.430273E+1
-2.500000E-1	1.926591E-5	-1.926591E-5	-1.681268E-10	1.467188E+1
-3.000000E-1	2.424874E-5	-2.424874E-5	-2.116102E-10	1.504004E+1
-3.500000E-1	2.937856E-5	-2.937856E-5	-2.563763E-10	1.540820E+1
-4.000000E-1	3.370877E-5	-3.370877E-5	-2.941645E-10	1.577637E+1
-4.500000E-1	4.002588E-5	-4.002588E-5	-3.492917E-10	1.614453E+1
-5.000000E-1	4.864882E-5	-4.864882E-5	-4.245410E-10	1.651367E+1
-5.000000E-1	4.730757E-5	-4.730757E-5	-4.128364E-10	1.688184E+1
-4.500000E-1	3.719868E-5	-3.719868E-5	-3.246197E-10	1.725000E+1
-4.000000E-1	2.963758E-5	-2.963758E-5	-2.586367E-10	1.761816E+1
-3.500000E-1	2.381805E-5	-2.381805E-5	-2.078517E-10	1.798730E+1
-3.000000E-1	1.917527E-5	-1.917527E-5	-1.673358E-10	1.835547E+1
-2.500000E-1	1.445750E-5	-1.445750E-5	-1.261655E-10	1.872363E+1
-2.000000E-1	1.055248E-5	-1.055248E-5	-9.208774E-11	1.989844E+1
-1.500000E-1	9.321873E-6	-9.321873E-6	-8.134869E-11	2.060156E+1
-1.000000E-1	5.952920E-6	-5.952920E-6	-5.194903E-11	2.130469E+1
-5.000000E-2	2.904136E-6	-2.904136E-6	-2.534337E-11	2.200781E+1
0.000000E+0	4.436874E-9	-4.436874E-9	-3.871903E-14	2.271094E+1
