J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	9.0936e-012
1.5849e-008	-7.8	0	1.8126e-010
2.1544e-008	-7.6667	0	3.0917e-009
2.9286e-008	-7.5333	0	4.5123e-008
3.9811e-008	-7.4	0	5.6353e-007
5.4117e-008	-7.2667	0	6.022e-006
7.3564e-008	-7.1333	0	5.5066e-005
1e-007	-7	0	0.00043086
1.3594e-007	-6.8667	0	0.0028847
1.8478e-007	-6.7333	0	0.016527
2.5119e-007	-6.6	0	0.081018
3.4145e-007	-6.4667	2	0.33985
4.6416e-007	-6.3333	0	1.2199
6.3096e-007	-6.2	1	3.7467
8.577e-007	-6.0667	19	9.8468
1.1659e-006	-5.9333	49	22.144
1.5849e-006	-5.8	104	42.612
2.1544e-006	-5.6667	43	70.165
2.9286e-006	-5.5333	52	98.86
3.9811e-006	-5.4	89	119.19
5.4117e-006	-5.2667	173	122.96
7.3564e-006	-5.1333	151	108.54
1e-005	-5	45	81.989
1.3594e-005	-4.8667	44	52.994
1.8478e-005	-4.7333	21	29.309
2.5119e-005	-4.6	4	13.871
3.4145e-005	-4.4667	2	5.617
4.6416e-005	-4.3333	0	1.9464
6.3096e-005	-4.2	0	0.57711
8.577e-005	-4.0667	0	0.14642
0.00011659	-3.9333	0	0.031789
0.00015849	-3.8	0	0.0059053
0.00021544	-3.6667	0	0.00093871
0.00029286	-3.5333	0	0.00012768
0.00039811	-3.4	0	1.4861e-005
0.00054117	-3.2667	0	1.48e-006
0.00073564	-3.1333	0	1.2613e-007
0.001	-3	0	9.1975e-009
0.0013594	-2.8667	0	5.739e-010
0.0018478	-2.7333	0	3.0642e-011
0.0025119	-2.6	0	1.3999e-012
0.0034145	-2.4667	0	5.4729e-014
0.0046416	-2.3333	0	1.8308e-015
0.0063096	-2.2	0	5.2405e-017
0.008577	-2.0667	0	1.2836e-018
0.011659	-1.9333	0	2.6902e-020
0.015849	-1.8	0	4.8245e-022
0.021544	-1.6667	0	7.4036e-024
0.029286	-1.5333	0	9.7217e-026
0.039811	-1.4	0	1.0923e-027
0.054117	-1.2667	0	1.0502e-029
0.073564	-1.1333	0	8.6402e-032
0.1	-1	0	6.0825e-034
0.13594	-0.86667	0	3.6639e-036
0.18478	-0.73333	0	1.8885e-038
0.25119	-0.6	0	8.3295e-041
0.34145	-0.46667	0	3.1436e-043
0.46416	-0.33333	0	1.0152e-045
0.63096	-0.2	0	2.8053e-048
0.8577	-0.066667	0	6.6333e-051
1.1659	0.066667	0	1.3421e-053
1.5849	0.2	0	2.3236e-056
2.1544	0.33333	0	3.4423e-059
2.9286	0.46667	0	4.3636e-062
3.9811	0.6	0	4.7333e-065
5.4117	0.73333	0	4.3933e-068
7.3564	0.86667	0	3.4892e-071
10	1	0	2.3713e-074
13.594	1.1333	0	1.379e-077
18.478	1.2667	0	6.8617e-081
25.119	1.4	0	2.9216e-084
34.145	1.5333	0	1.0645e-087
46.416	1.6667	0	3.3186e-091
63.096	1.8	0	8.8529e-095
85.77	1.9333	1	2.0208e-098
