J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	3	9.875e-008
1.5849e-008	-7.8	2	1.6821e-006
2.1544e-008	-7.6667	1	2.334e-005
2.9286e-008	-7.5333	1	0.00026382
3.9811e-008	-7.4	1	0.002429
5.4117e-008	-7.2667	3	0.018218
7.3564e-008	-7.1333	1	0.11131
1e-007	-7	1	0.55395
1.3594e-007	-6.8667	13	2.2458
1.8478e-007	-6.7333	14	7.4164
2.5119e-007	-6.6	43	19.951
3.4145e-007	-6.4667	63	43.719
4.6416e-007	-6.3333	57	78.041
6.3096e-007	-6.2	104	113.48
8.577e-007	-6.0667	116	134.41
1.1659e-006	-5.9333	174	129.69
1.5849e-006	-5.8	97	101.93
2.1544e-006	-5.6667	45	65.261
2.9286e-006	-5.5333	30	34.036
3.9811e-006	-5.4	16	14.46
5.4117e-006	-5.2667	6	5.0041
7.3564e-006	-5.1333	4	1.4107
1e-005	-5	2	0.32394
1.3594e-005	-4.8667	2	0.060597
1.8478e-005	-4.7333	0	0.0092336
2.5119e-005	-4.6	0	0.0011461
3.4145e-005	-4.4667	0	0.00011589
4.6416e-005	-4.3333	0	9.5449e-006
6.3096e-005	-4.2	0	6.404e-007
8.577e-005	-4.0667	0	3.5e-008
0.00011659	-3.9333	0	1.5582e-009
0.00015849	-3.8	0	5.6509e-011
0.00021544	-3.6667	0	1.6694e-012
0.00029286	-3.5333	0	4.0173e-014
0.00039811	-3.4	0	7.8749e-016
0.00054117	-3.2667	0	1.2575e-017
0.00073564	-3.1333	0	1.6357e-019
0.001	-3	0	1.7331e-021
0.0013594	-2.8667	0	1.4959e-023
0.0018478	-2.7333	0	1.0517e-025
0.0025119	-2.6	0	6.0236e-028
0.0034145	-2.4667	0	2.8103e-030
0.0046416	-2.3333	0	1.068e-032
0.0063096	-2.2	0	3.3063e-035
0.008577	-2.0667	0	8.3379e-038
0.011659	-1.9333	0	1.7128e-040
0.015849	-1.8	0	2.8661e-043
0.021544	-1.6667	0	3.9068e-046
0.029286	-1.5333	0	4.3379e-049
0.039811	-1.4	0	3.9236e-052
0.054117	-1.2667	0	2.8909e-055
0.073564	-1.1333	0	1.7351e-058
0.1	-1	0	8.4828e-062
0.13594	-0.86667	0	3.3783e-065
0.18478	-0.73333	0	1.096e-068
0.25119	-0.6	0	2.8963e-072
0.34145	-0.46667	0	6.2348e-076
0.46416	-0.33333	0	1.0933e-079
0.63096	-0.2	0	1.5617e-083
0.8577	-0.066667	0	1.8172e-087
1.1659	0.066667	0	1.7224e-091
1.5849	0.2	0	1.3299e-095
2.1544	0.33333	0	8.3644e-100
2.9286	0.46667	0	4.2854e-104
3.9811	0.6	0	1.7885e-108
5.4117	0.73333	0	6.0802e-113
7.3564	0.86667	0	1.6838e-117
10	1	0	3.7984e-122
13.594	1.1333	0	6.98e-127
18.478	1.2667	0	1.0448e-131
25.119	1.4	0	1.274e-136
34.145	1.5333	0	1.2655e-141
46.416	1.6667	0	1.0239e-146
63.096	1.8	0	6.7486e-152
85.77	1.9333	1	3.6233e-157
