Voltage	mu1	sigma1	Gerrup1	Gerrdn1					
0.5	2.3318e-005	2.0938	4.8822e-005	1.1137e-005
0.45	1.8886e-005	2.1372	4.0365e-005	8.8368e-006
0.4	1.4874e-005	2.2053	3.2803e-005	6.7448e-006
0.35	1.1058e-005	2.279	2.5201e-005	4.852e-006
0.3	8.6077e-006	2.3427	2.0165e-005	3.6743e-006
0.25	6.4947e-006	2.2958	1.491e-005	2.829e-006
0.2	4.8105e-006	2.2214	1.0686e-005	2.1656e-006
0.15	3.1847e-006	2.1983	7.0009e-006	1.4487e-006
0.1	1.8757e-006	2.2538	4.2274e-006	8.3221e-007
0.05	8.7077e-007	2.1871	1.9045e-006	3.9814e-007
0	1e-008	6.1652	6.1652e-008	1.622e-009
-0.05	9.4786e-007	1.9699	1.8671e-006	4.8118e-007
-0.1	1.9741e-006	2.1374	4.2195e-006	9.236e-007
-0.15	3.3574e-006	2.2053	7.4039e-006	1.5224e-006
-0.2	4.9353e-006	2.1764	1.0741e-005	2.2677e-006
-0.25	7.7195e-006	1.3411	1.0352e-005	5.7563e-006
-0.3	8.8129e-006	2.2725	2.0027e-005	3.878e-006
-0.35	1.1158e-005	2.3435	2.6149e-005	4.7611e-006
-0.4	1.4155e-005	2.3512	3.3281e-005	6.0205e-006
-0.45	1.7216e-005	2.3572	4.0582e-005	7.3037e-006
-0.5	2.0869e-005	2.3376	4.8785e-005	8.9274e-006
