J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	3.1384e-005
1.5849e-008	-7.8	0	0.00025254
2.1544e-008	-7.6667	1	0.0017423
2.9286e-008	-7.5333	2	0.010306
3.9811e-008	-7.4	0	0.052261
5.4117e-008	-7.2667	1	0.22722
7.3564e-008	-7.1333	2	0.84699
1e-007	-7	3	2.7069
1.3594e-007	-6.8667	11	7.4169
1.8478e-007	-6.7333	28	17.423
2.5119e-007	-6.6	51	35.092
3.4145e-007	-6.4667	86	60.595
4.6416e-007	-6.3333	68	89.707
6.3096e-007	-6.2	74	113.86
8.577e-007	-6.0667	128	123.91
1.1659e-006	-5.9333	160	115.6
1.5849e-006	-5.8	99	92.471
2.1544e-006	-5.6667	37	63.416
2.9286e-006	-5.5333	31	37.287
3.9811e-006	-5.4	14	18.796
5.4117e-006	-5.2667	1	8.1235
7.3564e-006	-5.1333	0	3.0101
1e-005	-5	0	0.95626
1.3594e-005	-4.8667	0	0.26046
1.8478e-005	-4.7333	0	0.060821
2.5119e-005	-4.6	1	0.012177
3.4145e-005	-4.4667	0	0.0020901
4.6416e-005	-4.3333	0	0.00030759
6.3096e-005	-4.2	0	3.8809e-005
8.577e-005	-4.0667	0	4.198e-006
0.00011659	-3.9333	0	3.8934e-007
0.00015849	-3.8	0	3.0958e-008
0.00021544	-3.6667	0	2.1104e-009
0.00029286	-3.5333	0	1.2335e-010
0.00039811	-3.4	0	6.1809e-012
0.00054117	-3.2667	0	2.6554e-013
0.00073564	-3.1333	0	9.7809e-015
0.001	-3	0	3.0887e-016
0.0013594	-2.8667	0	8.3626e-018
0.0018478	-2.7333	0	1.9412e-019
0.0025119	-2.6	0	3.8632e-021
0.0034145	-2.4667	0	6.5917e-023
0.0046416	-2.3333	0	9.6428e-025
0.0063096	-2.2	0	1.2094e-026
0.008577	-2.0667	0	1.3004e-028
0.011659	-1.9333	0	1.1989e-030
0.015849	-1.8	0	9.476e-033
0.021544	-1.6667	0	6.4214e-035
0.029286	-1.5333	0	3.7308e-037
0.039811	-1.4	0	1.8584e-039
0.054117	-1.2667	0	7.9363e-042
0.073564	-1.1333	0	2.9058e-044
0.1	-1	0	9.1217e-047
0.13594	-0.86667	0	2.455e-049
0.18478	-0.73333	0	5.6647e-052
0.25119	-0.6	0	1.1206e-054
0.34145	-0.46667	0	1.9007e-057
0.46416	-0.33333	0	2.7639e-060
0.63096	-0.2	0	3.4459e-063
0.8577	-0.066667	0	3.6832e-066
1.1659	0.066667	0	3.3754e-069
1.5849	0.2	0	2.652e-072
2.1544	0.33333	0	1.7864e-075
2.9286	0.46667	0	1.0317e-078
3.9811	0.6	0	5.1085e-082
5.4117	0.73333	0	2.1687e-085
7.3564	0.86667	0	7.8931e-089
10	1	0	2.463e-092
13.594	1.1333	0	6.5893e-096
18.478	1.2667	0	1.5114e-099
25.119	1.4	0	2.9722e-103
34.145	1.5333	0	5.011e-107
46.416	1.6667	0	7.2435e-111
63.096	1.8	0	8.9768e-115
85.77	1.9333	2	9.5381e-119
