voltage_run_3_spot_1	absJ_run_3_spot_1	J_run_3_spot_1	current_run_3_spot_1	time_run_3_spot_1	
0.000000E+0	9.705332E-8	-9.705332E-8	-1.219608E-12	0.000000E+0
5.000000E-2	6.505010E-5	6.505010E-5	8.174437E-10	1.115234E+0
1.000000E-1	2.763746E-5	2.763746E-5	3.473026E-10	2.230469E+0
1.500000E-1	3.118919E-5	3.118919E-5	3.919349E-10	2.970703E+0
2.000000E-1	4.331595E-5	4.331595E-5	5.443243E-10	3.339844E+0
2.500000E-1	5.245151E-5	5.245151E-5	6.591251E-10	3.708008E+0
3.000000E-1	6.286624E-5	6.286624E-5	7.900005E-10	4.076172E+0
3.500000E-1	8.091676E-5	8.091676E-5	1.016830E-9	4.445313E+0
4.000000E-1	6.413080E-5	6.413080E-5	8.058914E-10	5.559570E+0
4.500000E-1	9.390197E-5	9.390197E-5	1.180007E-9	5.927734E+0
5.000000E-1	1.005362E-4	1.005362E-4	1.263375E-9	6.294922E+0
5.000000E-1	8.232138E-5	8.232138E-5	1.034481E-9	7.036133E+0
4.500000E-1	6.788706E-5	6.788706E-5	8.530940E-10	7.405273E+0
4.000000E-1	5.346883E-5	5.346883E-5	6.719091E-10	7.773438E+0
3.500000E-1	2.888743E-5	2.888743E-5	3.630101E-10	8.887695E+0
3.000000E-1	2.122002E-5	2.122002E-5	2.666586E-10	9.628906E+0
2.500000E-1	1.430345E-5	1.430345E-5	1.797424E-10	9.997070E+0
2.000000E-1	9.988851E-6	9.988851E-6	1.255236E-10	1.036621E+1
1.500000E-1	6.173891E-6	6.173891E-6	7.758340E-11	1.154102E+1
1.000000E-1	3.859939E-6	3.859939E-6	4.850542E-11	1.224414E+1
5.000000E-2	1.714903E-6	1.714903E-6	2.155011E-11	1.294727E+1
0.000000E+0	1.434132E-7	1.434132E-7	1.802183E-12	1.365039E+1
-5.000000E-2	1.425026E-6	-1.425026E-6	-1.790741E-11	1.435352E+1
-1.000000E-1	3.092450E-6	-3.092450E-6	-3.886087E-11	1.505664E+1
-1.500000E-1	6.104456E-6	-6.104456E-6	-7.671086E-11	1.575977E+1
-2.000000E-1	1.069328E-5	-1.069328E-5	-1.343757E-10	1.687500E+1
-2.500000E-1	2.144245E-5	-2.144245E-5	-2.694538E-10	1.724316E+1
-3.000000E-1	3.893404E-5	-3.893404E-5	-4.892596E-10	1.761133E+1
-3.500000E-1	4.813114E-5	-4.813114E-5	-6.048338E-10	1.798047E+1
-4.000000E-1	6.584993E-5	-6.584993E-5	-8.274946E-10	1.834863E+1
-4.500000E-1	7.565316E-5	-7.565316E-5	-9.506856E-10	1.871680E+1
-5.000000E-1	1.167119E-4	-1.167119E-4	-1.466645E-9	1.983203E+1
-5.000000E-1	1.791159E-4	-1.791159E-4	-2.250837E-9	2.019922E+1
-4.500000E-1	1.347904E-4	-1.347904E-4	-1.693826E-9	2.056738E+1
-4.000000E-1	1.268016E-4	-1.268016E-4	-1.593436E-9	2.093555E+1
-3.500000E-1	1.012308E-4	-1.012308E-4	-1.272104E-9	2.130273E+1
-3.000000E-1	7.616767E-5	-7.616767E-5	-9.571511E-10	2.204395E+1
-2.500000E-1	4.188348E-5	-4.188348E-5	-5.263234E-10	2.241211E+1
-2.000000E-1	2.995140E-5	-2.995140E-5	-3.763804E-10	2.278027E+1
-1.500000E-1	1.742502E-5	-1.742502E-5	-2.189693E-10	2.314941E+1
-1.000000E-1	8.746479E-6	-8.746479E-6	-1.099115E-10	2.351758E+1
-5.000000E-2	3.850003E-6	-3.850003E-6	-4.838056E-11	2.469238E+1
0.000000E+0	8.476067E-8	8.476067E-8	1.065134E-12	2.539551E+1
