voltage_run_1_spot_1	absJ_run_1_spot_1	J_run_1_spot_1	current_run_1_spot_1	time_run_1_spot_1	
0.000000E+0	7.440628E-6	-7.440628E-6	-2.597269E-10	0.000000E+0
5.000000E-2	7.005297E-3	7.005297E-3	2.445310E-7	7.412109E-1
1.000000E-1	1.120087E-2	1.120087E-2	3.909841E-7	1.109375E+0
1.500000E-1	1.704560E-2	1.704560E-2	5.950037E-7	1.477539E+0
2.000000E-1	2.405435E-2	2.405435E-2	8.396553E-7	1.844727E+0
2.500000E-1	1.681049E-2	1.681049E-2	5.867969E-7	2.972656E+0
3.000000E-1	2.061787E-2	2.061787E-2	7.196993E-7	3.712891E+0
3.500000E-1	2.650680E-2	2.650680E-2	9.252619E-7	4.081055E+0
4.000000E-1	1.561409E-2	1.561409E-2	5.450347E-7	5.208008E+0
4.500000E-1	1.834318E-2	1.834318E-2	6.402978E-7	5.949219E+0
5.000000E-1	2.050124E-2	2.050124E-2	7.156281E-7	6.316406E+0
5.000000E-1	2.049384E-2	2.049384E-2	7.153699E-7	6.684570E+0
4.500000E-1	1.738552E-2	1.738552E-2	6.068690E-7	7.052734E+0
4.000000E-1	1.534406E-2	1.534406E-2	5.356088E-7	7.419922E+0
3.500000E-1	1.250358E-2	1.250358E-2	4.364574E-7	7.788086E+0
3.000000E-1	1.024072E-2	1.024072E-2	3.574684E-7	8.155273E+0
2.500000E-1	8.346795E-3	8.346795E-3	2.913581E-7	8.523438E+0
2.000000E-1	6.397203E-3	6.397203E-3	2.233045E-7	8.891602E+0
1.500000E-1	4.486623E-3	4.486623E-3	1.566127E-7	9.258789E+0
1.000000E-1	2.817636E-3	2.817636E-3	9.835404E-8	1.000000E+1
5.000000E-2	1.517751E-3	1.517751E-3	5.297952E-8	1.036816E+1
0.000000E+0	3.743695E-6	-3.743695E-6	-1.306796E-10	1.110937E+1
-5.000000E-2	1.457256E-3	-1.457256E-3	-5.086783E-8	1.222461E+1
-1.000000E-1	2.857375E-3	-2.857375E-3	-9.974121E-8	1.259180E+1
-1.500000E-1	5.452642E-3	-5.452642E-3	-1.903331E-7	1.371191E+1
-2.000000E-1	7.025872E-3	-7.025872E-3	-2.452492E-7	1.408008E+1
-2.500000E-1	8.518341E-3	-8.518341E-3	-2.973462E-7	1.444727E+1
-3.000000E-1	1.008039E-2	-1.008039E-2	-3.518721E-7	1.481543E+1
-3.500000E-1	1.150472E-2	-1.150472E-2	-4.015905E-7	1.518262E+1
-4.000000E-1	1.286492E-2	-1.286492E-2	-4.490705E-7	1.555078E+1
-4.500000E-1	1.448896E-2	-1.448896E-2	-5.057600E-7	1.591895E+1
-5.000000E-1	1.554283E-2	-1.554283E-2	-5.425472E-7	1.628613E+1
-5.000000E-1	1.546351E-2	-1.546351E-2	-5.397784E-7	1.665430E+1
-4.500000E-1	1.385462E-2	-1.385462E-2	-4.836176E-7	1.702148E+1
-4.000000E-1	1.201512E-2	-1.201512E-2	-4.194068E-7	1.738965E+1
-3.500000E-1	1.059121E-2	-1.059121E-2	-3.697031E-7	1.775781E+1
-3.000000E-1	9.040343E-3	-9.040343E-3	-3.155675E-7	1.812500E+1
-2.500000E-1	7.465239E-3	-7.465239E-3	-2.605860E-7	1.849316E+1
-2.000000E-1	5.979147E-3	-5.979147E-3	-2.087116E-7	1.886035E+1
-1.500000E-1	4.551846E-3	-4.551846E-3	-1.588894E-7	1.922852E+1
-1.000000E-1	3.080141E-3	-3.080141E-3	-1.075172E-7	1.959668E+1
-5.000000E-2	1.536317E-3	-1.536317E-3	-5.362757E-8	2.033691E+1
0.000000E+0	4.101862E-6	-4.101862E-6	-1.431820E-10	2.107813E+1
