Voltage	mu1	sigma1	Gerrup1	Gerrdn1					
-0.5	7.5066e-06	17.092	0.00012831	4.3918e-07
-0.45	5.8314e-06	18.053	0.00010527	3.2302e-07
-0.4	4.8363e-06	19.09	9.2327e-05	2.5334e-07
-0.35	3.2876e-06	19.014	6.2509e-05	1.7291e-07
-0.3	2.3992e-06	19.44	4.664e-05	1.2341e-07
-0.25	1.6231e-06	22.632	3.6735e-05	7.1716e-08
-0.2	9.9045e-07	30.137	2.9849e-05	3.2865e-08
-0.15	4.1788e-07	45.817	1.9146e-05	9.1206e-09
-0.1	4.4563e-08	130.9	5.8333e-06	3.4044e-10
-0.05	1e-08	83.325	8.3325e-07	1.2001e-10
0	1e-08	2.2203	2.2203e-08	4.5039e-09
0.05	7.3647e-08	39.716	2.925e-06	1.8543e-09
0.1	3.5061e-07	27.295	9.57e-06	1.2845e-08
0.15	7.8076e-07	21.484	1.6774e-05	3.6341e-08
0.2	1.4377e-06	18.556	2.6679e-05	7.7482e-08
0.25	2.1189e-06	17.936	3.8004e-05	1.1814e-07
0.3	3.116e-06	17.79	5.5433e-05	1.7516e-07
0.35	4.5414e-06	17.655	8.0179e-05	2.5723e-07
0.4	5.9876e-06	16.521	9.8921e-05	3.6243e-07
0.45	8.3628e-06	16.665	0.00013937	5.0181e-07
0.5	1.0948e-05	15.048	0.00016475	7.2755e-07
