voltage_spot_6_run_2_10	absJ_spot_6_run_2_10	J_spot_6_run_2_10	current_spot_6_run_2_10	time_spot_6_run_2_10	
-5.000000E-1	9.348711E-3	-9.348711E-3	-3.263316E-7	3.596680E+1
-4.500000E-1	7.879413E-3	-7.879413E-3	-2.750434E-7	3.633398E+1
-4.000000E-1	6.916532E-3	-6.916532E-3	-2.414325E-7	3.670215E+1
-3.500000E-1	5.734984E-3	-5.734984E-3	-2.001887E-7	3.706934E+1
-3.000000E-1	4.763004E-3	-4.763004E-3	-1.662602E-7	3.743750E+1
-2.500000E-1	3.728724E-3	-3.728724E-3	-1.301570E-7	3.780566E+1
-2.000000E-1	2.802888E-3	-2.802888E-3	-9.783926E-8	3.854590E+1
-1.500000E-1	1.823210E-3	-1.823210E-3	-6.364202E-8	3.891406E+1
-1.000000E-1	1.097908E-3	-1.097908E-3	-3.832423E-8	3.928223E+1
-5.000000E-2	5.548641E-4	-5.548641E-4	-1.936841E-8	3.964941E+1
0.000000E+0	9.340243E-7	-9.340243E-7	-3.260360E-11	4.082422E+1
0.000000E+0	5.937937E-7	-5.937937E-7	-2.072731E-11	4.152734E+1
5.000000E-2	5.233580E-4	5.233580E-4	1.826864E-8	4.226953E+1
1.000000E-1	1.203472E-3	1.203472E-3	4.200911E-8	4.263770E+1
1.500000E-1	1.912367E-3	1.912367E-3	6.675422E-8	4.300488E+1
2.000000E-1	2.715845E-3	2.715845E-3	9.480087E-8	4.337305E+1
2.500000E-1	3.690550E-3	3.690550E-3	1.288245E-7	4.449219E+1
3.000000E-1	4.053149E-3	4.053149E-3	1.414816E-7	4.486035E+1
3.500000E-1	4.821159E-3	4.821159E-3	1.682902E-7	4.522852E+1
4.000000E-1	6.090140E-3	6.090140E-3	2.125860E-7	4.559570E+1
4.500000E-1	7.638301E-3	7.638301E-3	2.666270E-7	4.596387E+1
5.000000E-1	9.778734E-3	9.778734E-3	3.413422E-7	4.633203E+1
5.000000E-1	8.845987E-3	8.845987E-3	3.087832E-7	4.669922E+1
4.500000E-1	7.958189E-3	7.958189E-3	2.777932E-7	4.706738E+1
