Voltage	mu1	sigma1	Gerrup1	Gerrdn1					
-0.5	8.1469e-005	3.4123	0.000278	2.3875e-005
-0.45	6.7416e-005	3.2897	0.00022177	2.0493e-005
-0.4	5.623e-005	3.3152	0.00018642	1.6961e-005
-0.35	4.5072e-005	3.2949	0.00014851	1.368e-005
-0.3	3.6691e-005	3.5068	0.00012867	1.0463e-005
-0.25	2.8395e-005	3.6519	0.0001037	7.7753e-006
-0.2	2.0607e-005	3.7335	7.6937e-005	5.5195e-006
-0.15	1.353e-005	3.7007	5.0071e-005	3.656e-006
-0.1	8.3996e-006	3.5227	2.9589e-005	2.3844e-006
-0.05	4.2776e-006	3.6901	1.5785e-005	1.1592e-006
0	1.9356e-007	2.9619	5.733e-007	6.535e-008
0.05	4.6999e-006	3.6188	1.7008e-005	1.2988e-006
0.1	9.3525e-006	3.5164	3.2887e-005	2.6597e-006
0.15	1.6502e-005	3.698	6.1026e-005	4.4624e-006
0.2	2.5266e-005	3.7363	9.4399e-005	6.7623e-006
0.25	3.5867e-005	3.5794	0.00012838	1.002e-005
0.3	4.5961e-005	3.2738	0.00015047	1.4039e-005
0.35	5.7262e-005	3.0899	0.00017694	1.8532e-005
0.4	7.2765e-005	3.0895	0.00022481	2.3552e-005
0.45	8.8849e-005	3.1077	0.00027611	2.859e-005
0.5	0.00010728	3.0385	0.00032597	3.5306e-005
