J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	1	0.035814
1.5849e-008	-7.8	0	0.064133
2.1544e-008	-7.6667	0	0.1121
2.9286e-008	-7.5333	1	0.19127
3.9811e-008	-7.4	2	0.31855
5.4117e-008	-7.2667	0	0.51785
7.3564e-008	-7.1333	2	0.82175
1e-007	-7	2	1.2728
1.3594e-007	-6.8667	1	1.9245
1.8478e-007	-6.7333	3	2.8402
2.5119e-007	-6.6	8	4.0915
3.4145e-007	-6.4667	9	5.7534
4.6416e-007	-6.3333	12	7.8971
6.3096e-007	-6.2	13	10.581
8.577e-007	-6.0667	23	13.837
1.1659e-006	-5.9333	25	17.665
1.5849e-006	-5.8	19	22.011
2.1544e-006	-5.6667	10	26.773
2.9286e-006	-5.5333	16	31.787
3.9811e-006	-5.4	33	36.838
5.4117e-006	-5.2667	63	41.672
7.3564e-006	-5.1333	53	46.015
1e-005	-5	52	49.597
1.3594e-005	-4.8667	34	52.181
1.8478e-005	-4.7333	50	53.588
2.5119e-005	-4.6	82	53.719
3.4145e-005	-4.4667	47	52.564
4.6416e-005	-4.3333	44	50.206
6.3096e-005	-4.2	19	46.807
8.577e-005	-4.0667	40	42.597
0.00011659	-3.9333	71	37.839
0.00015849	-3.8	32	32.81
0.00021544	-3.6667	13	27.77
0.00029286	-3.5333	43	22.943
0.00039811	-3.4	29	18.502
0.00054117	-3.2667	5	14.564
0.00073564	-3.1333	3	11.191
0.001	-3	2	8.3934
0.0013594	-2.8667	0	6.1449
0.0018478	-2.7333	0	4.3913
0.0025119	-2.6	1	3.0632
0.0034145	-2.4667	0	2.0857
0.0046416	-2.3333	0	1.3862
0.0063096	-2.2	0	0.89932
0.008577	-2.0667	0	0.5695
0.011659	-1.9333	1	0.35203
0.015849	-1.8	0	0.21241
0.021544	-1.6667	0	0.1251
0.029286	-1.5333	0	0.071919
0.039811	-1.4	0	0.040358
0.054117	-1.2667	0	0.022107
0.073564	-1.1333	0	0.01182
0.1	-1	0	0.006169
0.13594	-0.86667	0	0.0031427
0.18478	-0.73333	0	0.0015628
0.25119	-0.6	0	0.00075858
0.34145	-0.46667	0	0.00035942
0.46416	-0.33333	0	0.00016623
0.63096	-0.2	0	7.5042e-005
0.8577	-0.066667	0	3.3068e-005
1.1659	0.066667	0	1.4224e-005
1.5849	0.2	0	5.972e-006
2.1544	0.33333	0	2.4475e-006
2.9286	0.46667	0	9.7912e-007
3.9811	0.6	0	3.8234e-007
5.4117	0.73333	0	1.4573e-007
7.3564	0.86667	0	5.4221e-008
10	1	0	1.9692e-008
13.594	1.1333	0	6.9807e-009
18.478	1.2667	0	2.4156e-009
25.119	1.4	0	8.1589e-010
34.145	1.5333	0	2.69e-010
46.416	1.6667	0	8.6571e-011
63.096	1.8	0	2.7195e-011
85.77	1.9333	8	8.3391e-012
