Voltage	mu1	sigma1	Gerrup1	Gerrdn1					
-0.5	0.00025314	6.1022	0.0015447	4.1484e-005
-0.45	0.00022179	6.2057	0.0013763	3.574e-005
-0.4	0.00019424	6.3514	0.0012337	3.0582e-005
-0.35	0.00016106	6.2655	0.0010091	2.5706e-005
-0.3	0.00014023	6.4186	0.00090009	2.1847e-005
-0.25	0.00011182	6.3016	0.00070467	1.7745e-005
-0.2	8.799e-005	6.2228	0.00054754	1.414e-005
-0.15	6.4905e-005	6.2711	0.00040703	1.035e-005
-0.1	4.2088e-005	6.0366	0.00025407	6.9722e-006
-0.05	2.15e-005	5.6176	0.00012078	3.8272e-006
0	9.6851e-007	1.9582	1.8965e-006	4.946e-007
0.05	2.2222e-005	7.2037	0.00016008	3.0848e-006
0.1	4.8133e-005	6.6401	0.00031961	7.2489e-006
0.15	7.4729e-005	6.5221	0.00048739	1.1458e-005
0.2	0.00010725	6.4667	0.00069354	1.6585e-005
0.25	0.00014274	6.3286	0.00090331	2.2554e-005
0.3	0.00018497	6.277	0.0011611	2.9468e-005
0.35	0.00023316	6.2816	0.0014646	3.7118e-005
0.4	0.00028656	6.303	0.0018062	4.5464e-005
0.45	0.00034602	6.182	0.0021391	5.5972e-005
0.5	0.00042425	6.2087	0.0026341	6.8332e-005
