voltage_line_5_scan_1	absJ_line_5_scan_1	J_line_5_scan_1	current_line_5_scan_1	time_line_5_scan_1	
0.000000E+0	2.333688E-7	2.333688E-7	9.051232E-13	0.000000E+0
5.000000E-2	3.773419E-7	3.773419E-7	1.463524E-12	7.031250E-1
1.000000E-1	4.434332E-7	4.434332E-7	1.719860E-12	1.406250E+0
1.500000E-1	4.931299E-7	4.931299E-7	1.912609E-12	2.109375E+0
2.000000E-1	5.354485E-7	5.354485E-7	2.076742E-12	2.812500E+0
2.500000E-1	6.012859E-7	6.012859E-7	2.332093E-12	3.515625E+0
3.000000E-1	6.124211E-7	6.124211E-7	2.375281E-12	4.218750E+0
3.500000E-1	6.590045E-7	6.590045E-7	2.555955E-12	4.921875E+0
4.000000E-1	6.936874E-7	6.936874E-7	2.690473E-12	5.625000E+0
4.500000E-1	7.235037E-7	7.235037E-7	2.806116E-12	6.328125E+0
5.000000E-1	7.652246E-7	7.652246E-7	2.967931E-12	7.031250E+0
5.000000E-1	6.566394E-7	6.566394E-7	2.546782E-12	7.734375E+0
4.500000E-1	4.956345E-7	4.956345E-7	1.922323E-12	8.437500E+0
4.000000E-1	3.357927E-7	3.357927E-7	1.302375E-12	9.140625E+0
3.500000E-1	3.262998E-7	3.262998E-7	1.265557E-12	9.843750E+0
3.000000E-1	2.702487E-7	2.702487E-7	1.048162E-12	1.054688E+1
2.500000E-1	1.428959E-7	1.428959E-7	5.542233E-13	1.125000E+1
2.000000E-1	2.243198E-7	-2.243198E-7	-8.700263E-13	1.195313E+1
1.500000E-1	1.997169E-6	-1.997169E-6	-7.746040E-12	1.265625E+1
1.000000E-1	4.942906E-6	-4.942906E-6	-1.917111E-11	1.335938E+1
5.000000E-2	1.004111E-6	1.004111E-6	3.894454E-12	1.406250E+1
0.000000E+0	2.487025E-6	2.487025E-6	9.645951E-12	1.476563E+1
-5.000000E-2	9.536416E-7	9.536416E-7	3.698708E-12	1.546973E+1
-1.000000E-1	4.232170E-7	4.232170E-7	1.641451E-12	1.617285E+1
-1.500000E-1	2.080965E-7	2.080965E-7	8.071044E-13	1.687598E+1
-2.000000E-1	6.995590E-8	6.995590E-8	2.713246E-13	1.757910E+1
-2.500000E-1	4.342055E-8	-4.342055E-8	-1.684070E-13	1.828223E+1
-3.000000E-1	5.956147E-8	-5.956147E-8	-2.310097E-13	1.898535E+1
-3.500000E-1	1.261503E-7	-1.261503E-7	-4.892753E-13	1.968848E+1
-4.000000E-1	1.918912E-7	-1.918912E-7	-7.442519E-13	2.039160E+1
-4.500000E-1	1.894545E-7	-1.894545E-7	-7.348011E-13	2.109473E+1
-5.000000E-1	3.406695E-7	-3.406695E-7	-1.321290E-12	2.179785E+1
-5.000000E-1	1.921059E-7	-1.921059E-7	-7.450845E-13	2.250098E+1
-4.500000E-1	1.402088E-7	-1.402088E-7	-5.438011E-13	2.320410E+1
-4.000000E-1	1.017261E-7	1.017261E-7	3.945455E-13	2.390723E+1
-3.500000E-1	1.389815E-7	1.389815E-7	5.390410E-13	2.461035E+1
-3.000000E-1	2.250890E-7	2.250890E-7	8.730100E-13	2.531348E+1
-2.500000E-1	1.653487E-7	1.653487E-7	6.413065E-13	2.601660E+1
-2.000000E-1	2.720447E-7	2.720447E-7	1.055128E-12	2.671973E+1
-1.500000E-1	3.108351E-7	3.108351E-7	1.205577E-12	2.742285E+1
-1.000000E-1	3.228042E-7	3.228042E-7	1.251999E-12	2.812598E+1
-5.000000E-2	3.587391E-7	3.587391E-7	1.391373E-12	2.882910E+1
0.000000E+0	4.240864E-7	4.240864E-7	1.644823E-12	2.953223E+1
