J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	5.9706e-010
1.5849e-008	-7.8	0	2.6042e-009
2.1544e-008	-7.6667	0	1.0866e-008
2.9286e-008	-7.5333	1	4.3367e-008
3.9811e-008	-7.4	0	1.6557e-007
5.4117e-008	-7.2667	1	6.0465e-007
7.3564e-008	-7.1333	0	2.1123e-006
1e-007	-7	0	7.0587e-006
1.3594e-007	-6.8667	0	2.2564e-005
1.8478e-007	-6.7333	0	6.8995e-005
2.5119e-007	-6.6	0	0.00020181
3.4145e-007	-6.4667	0	0.00056465
4.6416e-007	-6.3333	0	0.0015113
6.3096e-007	-6.2	0	0.0038692
8.577e-007	-6.0667	0	0.0094758
1.1659e-006	-5.9333	0	0.022199
1.5849e-006	-5.8	0	0.049747
2.1544e-006	-5.6667	0	0.10664
2.9286e-006	-5.5333	0	0.21867
3.9811e-006	-5.4	0	0.42891
5.4117e-006	-5.2667	0	0.80477
7.3564e-006	-5.1333	0	1.4444
1e-005	-5	0	2.4799
1.3594e-005	-4.8667	0	4.0728
1.8478e-005	-4.7333	0	6.3984
2.5119e-005	-4.6	6	9.6154
3.4145e-005	-4.4667	10	13.822
4.6416e-005	-4.3333	6	19.007
6.3096e-005	-4.2	18	25.001
8.577e-005	-4.0667	52	31.458
0.00011659	-3.9333	21	37.863
0.00015849	-3.8	44	43.593
0.00021544	-3.6667	94	48.011
0.00029286	-3.5333	62	50.581
0.00039811	-3.4	23	50.973
0.00054117	-3.2667	21	49.138
0.00073564	-3.1333	34	45.312
0.001	-3	80	39.969
0.0013594	-2.8667	13	33.725
0.0018478	-2.7333	19	27.221
0.0025119	-2.6	17	21.017
0.0034145	-2.4667	43	15.522
0.0046416	-2.3333	16	10.966
0.0063096	-2.2	8	7.4111
0.008577	-2.0667	6	4.791
0.011659	-1.9333	5	2.9627
0.015849	-1.8	0	1.7525
0.021544	-1.6667	0	0.99163
0.029286	-1.5333	0	0.53674
0.039811	-1.4	0	0.2779
0.054117	-1.2667	0	0.13764
0.073564	-1.1333	0	0.065209
0.1	-1	0	0.029552
0.13594	-0.86667	0	0.012811
0.18478	-0.73333	0	0.0053127
0.25119	-0.6	0	0.0021074
0.34145	-0.46667	0	0.00079967
0.46416	-0.33333	0	0.00029026
0.63096	-0.2	0	0.00010078
0.8577	-0.066667	0	3.3473e-005
1.1659	0.066667	0	1.0635e-005
1.5849	0.2	0	3.232e-006
2.1544	0.33333	0	9.3958e-007
2.9286	0.46667	0	2.6129e-007
3.9811	0.6	0	6.9506e-008
5.4117	0.73333	0	1.7686e-008
7.3564	0.86667	0	4.305e-009
10	1	0	1.0024e-009
13.594	1.1333	0	2.2326e-010
18.478	1.2667	0	4.7566e-011
25.119	1.4	0	9.6942e-012
34.145	1.5333	0	1.8899e-012
46.416	1.6667	0	3.5244e-013
63.096	1.8	0	6.2871e-014
85.77	1.9333	0	1.0728e-014
