J	logJ	Histogram	Fit				
1.1659e-008	-7.9333	0	1.1507e-011
1.5849e-008	-7.8	0	5.8883e-011
2.1544e-008	-7.6667	0	2.8746e-010
2.9286e-008	-7.5333	0	1.3388e-009
3.9811e-008	-7.4	0	5.9488e-009
5.4117e-008	-7.2667	0	2.5218e-008
7.3564e-008	-7.1333	0	1.0198e-007
1e-007	-7	0	3.9348e-007
1.3594e-007	-6.8667	0	1.4484e-006
1.8478e-007	-6.7333	0	5.0861e-006
2.5119e-007	-6.6	0	1.704e-005
3.4145e-007	-6.4667	0	5.4462e-005
4.6416e-007	-6.3333	0	0.00016607
6.3096e-007	-6.2	0	0.00048311
8.577e-007	-6.0667	0	0.0013408
1.1659e-006	-5.9333	0	0.0035501
1.5849e-006	-5.8	0	0.0089676
2.1544e-006	-5.6667	0	0.021611
2.9286e-006	-5.5333	0	0.049686
3.9811e-006	-5.4	0	0.10898
5.4117e-006	-5.2667	0	0.22805
7.3564e-006	-5.1333	0	0.45528
1e-005	-5	0	0.86712
1.3594e-005	-4.8667	0	1.5756
1.8478e-005	-4.7333	0	2.7313
2.5119e-005	-4.6	0	4.517
3.4145e-005	-4.4667	1	7.1268
4.6416e-005	-4.3333	5	10.728
6.3096e-005	-4.2	6	15.405
8.577e-005	-4.0667	11	21.106
0.00011659	-3.9333	35	27.586
0.00015849	-3.8	32	34.398
0.00021544	-3.6667	31	40.921
0.00029286	-3.5333	69	46.442
0.00039811	-3.4	85	50.286
0.00054117	-3.2667	47	51.944
0.00073564	-3.1333	24	51.191
0.001	-3	34	48.129
0.0013594	-2.8667	42	43.17
0.0018478	-2.7333	56	36.942
0.0025119	-2.6	4	30.159
0.0034145	-2.4667	22	23.489
0.0046416	-2.3333	14	17.454
0.0063096	-2.2	49	12.373
0.008577	-2.0667	17	8.3677
0.011659	-1.9333	7	5.3989
0.015849	-1.8	7	3.3233
0.021544	-1.6667	2	1.9516
0.029286	-1.5333	0	1.0934
0.039811	-1.4	0	0.5844
0.054117	-1.2667	0	0.298
0.073564	-1.1333	0	0.14497
0.1	-1	0	0.067283
0.13594	-0.86667	0	0.029791
0.18478	-0.73333	0	0.012585
0.25119	-0.6	0	0.0050716
0.34145	-0.46667	0	0.0019499
0.46416	-0.33333	0	0.00071522
0.63096	-0.2	0	0.00025028
0.8577	-0.066667	0	8.3557e-005
1.1659	0.066667	0	2.6613e-005
1.5849	0.2	0	8.0866e-006
2.1544	0.33333	0	2.3442e-006
2.9286	0.46667	0	6.4832e-007
3.9811	0.6	0	1.7106e-007
5.4117	0.73333	0	4.3059e-008
7.3564	0.86667	0	1.034e-008
10	1	0	2.369e-009
13.594	1.1333	0	5.1781e-010
18.478	1.2667	0	1.0798e-010
25.119	1.4	0	2.1481e-011
34.145	1.5333	0	4.0769e-012
46.416	1.6667	0	7.3819e-013
63.096	1.8	0	1.2752e-013
85.77	1.9333	0	2.1015e-014
